application_id,customer_id,loan_amount,loan_type,source_channel,current_stage,ask_ailo_used,ocr_documents_scanned,lender_id,offered_rate,inquiry_started_at,ace_prefill_at,neo_matched_at,lender_approved_at,settled_at,mins_to_prefill,mins_to_match
app_1,app_1,98300.19,Home Loan,Mortgage Broker,Project Neo Matched,1,4,1.0,7.03,2025-04-21 13:44:18.000000,2025-04-21 13:49:18.000000,2025-04-21 13:53:18.000000,,,5.0,4.0
app_2,app_2,91620.94,Car / Asset Finance,Organic,Settled & Funded,0,3,1.0,6.02,2026-01-22 14:49:13.000000,2026-01-22 14:56:13.000000,2026-01-22 15:02:13.000000,2026-01-29 15:02:13.000000,2026-02-03 15:02:13.000000,7.0,6.0
app_3,app_3,53835.87,Home Loan,Mortgage Broker,Project Neo Matched,1,4,2.0,5.55,2025-07-28 15:44:03.000000,2025-07-28 15:54:03.000000,2025-07-28 15:57:03.000000,,,10.0,3.0
app_4,app_4,139982.59,Home Loan,Synapses API,Settled & Funded,1,2,3.0,6.19,2025-09-03 21:46:12.000000,2025-09-03 21:49:12.000000,2025-09-03 21:51:12.000000,2025-09-05 21:51:12.000000,2025-09-06 21:51:12.000000,3.0,2.0
app_5,app_5,119436.22,Car / Asset Finance,Synapses API,Settled & Funded,0,3,4.0,11.08,2025-11-22 01:58:28.000000,2025-11-22 02:02:28.000000,2025-11-22 02:04:28.000000,2025-11-25 02:04:28.000000,2025-12-02 02:04:28.000000,4.0,2.0
app_6,app_6,45332.88,Business / Equipment,Synapses API,Inquiry Started,1,0,,,2025-03-30 07:55:03.000000,,,,,,
app_7,app_7,10415.52,Car / Asset Finance,TikTok/Meta Ads,Settled & Funded,0,2,5.0,6.96,2025-08-29 09:50:14.000000,2025-08-29 09:54:14.000000,2025-08-29 09:55:14.000000,2025-09-10 09:55:14.000000,2025-09-17 09:55:14.000000,4.0,1.0
app_8,app_8,97900.74,Business / Equipment,Organic,Inquiry Started,0,0,,,2025-09-09 19:05:59.000000,,,,,,
app_9,app_9,139307.95,Personal Loan,Synapses API,Settled & Funded,1,1,6.0,10.6,2025-11-09 18:40:40.000000,2025-11-09 18:49:40.000000,2025-11-09 18:59:40.000000,2025-11-20 18:59:40.000000,2025-11-24 18:59:40.000000,9.0,10.0
app_10,app_10,102033.32,Business / Equipment,Organic,Settled & Funded,1,2,7.0,7.83,2025-06-09 14:24:19.000000,2025-06-09 14:25:19.000000,2025-06-09 14:32:19.000000,2025-06-18 14:32:19.000000,2025-06-23 14:32:19.000000,1.0,7.0
app_11,app_11,48800.67,Business / Equipment,Organic,Settled & Funded,0,1,8.0,5.52,2026-03-12 07:23:50.000000,2026-03-12 07:33:50.000000,2026-03-12 07:42:50.000000,2026-03-16 07:42:50.000000,2026-03-23 07:42:50.000000,10.0,9.0
app_12,app_12,120598.73,Business / Equipment,Organic,Project Neo Matched,0,3,9.0,6.63,2026-03-08 00:02:38.000000,2026-03-08 00:04:38.000000,2026-03-08 00:07:38.000000,,,2.0,3.0
app_13,app_13,90227.66,Business / Equipment,Mortgage Broker,Settled & Funded,0,3,10.0,10.65,2025-04-04 13:10:43.000000,2025-04-04 13:14:43.000000,2025-04-04 13:26:43.000000,2025-04-06 13:26:43.000000,2025-04-07 13:26:43.000000,4.0,12.0
app_14,app_14,62559.16,Car / Asset Finance,Synapses API,Settled & Funded,0,1,11.0,12.25,2025-05-15 10:17:31.000000,2025-05-15 10:25:31.000000,2025-05-15 10:28:31.000000,2025-05-29 10:28:31.000000,2025-06-04 10:28:31.000000,8.0,3.0
app_15,app_15,113524.49,Car / Asset Finance,Organic,Settled & Funded,0,2,12.0,5.91,2025-10-19 13:03:16.000000,2025-10-19 13:06:16.000000,2025-10-19 13:09:16.000000,2025-10-20 13:09:16.000000,2025-10-22 13:09:16.000000,3.0,3.0
app_16,app_16,98059.33,Business / Equipment,Synapses API,Lender Approved,1,3,9.0,10.63,2026-02-28 08:31:21.000000,2026-02-28 08:33:21.000000,2026-02-28 08:35:21.000000,2026-03-09 08:35:21.000000,,2.0,2.0
app_17,app_17,70820.92,Home Loan,Organic,Settled & Funded,0,4,13.0,12.01,2025-11-29 23:26:28.000000,2025-11-29 23:35:28.000000,2025-11-29 23:36:28.000000,2025-12-10 23:36:28.000000,2025-12-12 23:36:28.000000,9.0,1.0
app_18,app_18,27120.71,Home Loan,Synapses API,Settled & Funded,1,1,14.0,8.83,2025-08-01 19:21:45.000000,2025-08-01 19:28:45.000000,2025-08-01 19:43:45.000000,2025-08-09 19:43:45.000000,2025-08-16 19:43:45.000000,7.0,15.0
app_19,app_19,31037.62,Car / Asset Finance,Mortgage Broker,Project Neo Matched,0,1,15.0,5.69,2026-03-11 16:03:55.000000,2026-03-11 16:07:55.000000,2026-03-11 16:09:55.000000,,,4.0,2.0
app_20,app_20,38181.86,Home Loan,Synapses API,Project Neo Matched,0,4,16.0,10.11,2025-07-03 03:32:21.000000,2025-07-03 03:38:21.000000,2025-07-03 03:42:21.000000,,,6.0,4.0
app_21,app_21,19734.0,Business / Equipment,Mortgage Broker,Lender Approved,1,2,17.0,11.14,2025-11-21 23:20:58.000000,2025-11-21 23:29:58.000000,2025-11-21 23:38:58.000000,2025-12-05 23:38:58.000000,,9.0,9.0
app_22,app_22,35515.06,Car / Asset Finance,Organic,Project Neo Matched,0,4,18.0,4.88,2025-12-16 06:12:54.000000,2025-12-16 06:13:54.000000,2025-12-16 06:28:54.000000,,,1.0,15.0
app_23,app_23,18163.46,Personal Loan,Synapses API,Inquiry Started,1,0,,,2026-02-05 10:00:27.000000,,,,,,
app_24,app_24,104934.64,Business / Equipment,Organic,Project Neo Matched,0,1,9.0,10.96,2025-12-28 16:00:45.000000,2025-12-28 16:04:45.000000,2025-12-28 16:13:45.000000,,,4.0,9.0
app_25,app_25,109361.33,Home Loan,Synapses API,Project Neo Matched,1,1,19.0,8.71,2025-04-02 15:22:03.000000,2025-04-02 15:27:03.000000,2025-04-02 15:39:03.000000,,,5.0,12.0
